,character,frequency,number_of_strokes
0,的,6538132,8
1,是,3200626,9
2,不,2831612,4
3,我,2584497,7
4,一,2542556,1
5,有,2289333,6
6,大,1891383,3
7,在,1715554,6
8,人,1598855,2
9,了,1507218,2
10,中,1322363,4
11,到,1310850,8
12,資,1115608,3
13,要,1034142,9
14,以,994958,5
15,可,992842,5
16,這,986130,1
17,個,933857,0
18,你,915385,7
19,會,894569,3
20,好,860232,6
21,為,847332,9
22,上,828394,3
23,來,812950,8
24,學,806783,6
25,就,803921,2
26,交,728005,6
27,也,712260,3
28,用,695290,5
29,能,668264,0
30,如,659275,6
31,時,658186,0
32,文,651140,4
33,說,638724,4
34,沒,638184,7
35,他,635766,5
36,看,632561,9
37,那,610340,7
38,問,601742,1
39,生,601668,5
40,提,599147,2
41,下,589356,3
42,過,586922,3
43,請,576417,5
44,們,571155,0
45,天,569684,4
46,所,558469,8
47,多,542911,6
48,麼,535402,4
49,小,530133,3
50,之,527444,4
51,想,525378,3
52,得,521836,1
53,工,521467,3
54,出,513081,5
55,還,511627,7
56,電,509516,3
57,對,500435,4
58,都,493206,1
59,機,468878,6
60,自,462155,6
61,而,459507,6
62,子,459460,3
63,後,459039,9
64,訊,448759,0
65,家,447793,0
66,站,446241,0
67,心,445610,4
68,只,443992,5
69,去,443547,5
70,知,434311,8
71,國,430450,1
72,很,417617,9
73,台,414094,5
74,成,406735,6
75,信,406628,9
76,同,395867,6
77,何,394682,7
78,章,391052,1
79,道,386382,3
80,發,374961,2
81,地,374510,6
82,法,370276,8
83,無,368361,2
84,然,364596,2
85,但,362245,7
86,當,354718,3
87,於,353628,8
88,嗎,353524,3
89,本,353034,5
90,年,343135,6
91,現,341466,1
92,前,339595,9
93,最,335527,2
94,真,335203,0
95,新,334204,3
96,和,333422,8
97,因,326759,6
98,果,324143,8
99,意,322755,3
100,定,322471,8
101,點,319559,7
102,情,318027,1
103,其,317897,8
104,題,316919,8
105,事,312553,8
106,科,311419,9
107,方,310681,4
108,些,304517,8
109,清,302588,1
110,三,301762,3
111,樣,301165,5
112,此,295670,6
113,吧,295069,7
114,位,291403,7
115,作,287015,7
116,理,286328,1
117,行,285867,6
118,者,283962,8
119,經,282242,3
120,名,278941,6
121,什,276297,4
122,謝,274523,7
123,日,273090,4
124,正,266725,5
125,開,265943,2
126,話,265861,3
127,與,264663,4
128,實,264457,4
129,愛,262882,3
130,再,261987,6
131,華,260565,2
132,二,260189,2
133,城,257697,9
134,動,256817,1
135,比,253132,4
136,面,252008,9
137,高,251576,0
138,又,249806,2
139,或,248845,8
140,力,247326,2
141,應,246284,7
142,女,245920,3
143,種,245042,4
144,教,245033,1
145,車,244964,7
146,分,243477,4
147,像,243002,4
148,系,240826,7
149,長,237093,8
150,手,236673,4
151,次,236297,6
152,已,235726,3
153,明,234613,8
154,打,233464,5
155,太,232918,4
156,路,232737,3
157,起,228817,0
158,己,228330,3
159,相,224206,9
160,主,224073,5
161,關,222896,9
162,十,222525,2
163,間,221727,2
164,鳳,218326,4
165,外,217422,5
166,呢,217180,8
167,覺,216291,0
168,使,216201,8
169,該,216069,3
170,友,214814,4
171,才,214782,3
172,進,212481,2
173,凰,211767,1
174,她,211517,6
175,民,211274,5
176,著,210770,2
177,各,210520,6
178,全,207034,6
179,將,206982,1
180,少,206744,4
181,兩,206181,8
182,加,205509,5
183,回,205155,6
184,感,203436,3
185,式,202729,6
186,第,202411,1
187,球,199740,1
188,性,199183,8
189,老,198538,6
190,程,197707,2
191,把,197579,7
192,被,197413,1
193,公,195727,4
194,論,193909,5
195,及,193509,4
196,龍,192863,6
197,校,192451,0
198,別,190394,7
199,體,190332,3
200,重,190069,9
201,給,189973,2
202,聽,188903,2
203,水,186822,4
204,做,186770,1
205,常,185860,1
206,您,185118,1
207,見,183680,7
208,裡,183675,2
209,東,183624,8
210,風,182757,9
211,解,180531,3
212,灣,178502,5
213,月,177519,4
214,等,177504,2
215,啦,177091,1
216,部,176255,1
217,原,174329,0
218,美,173127,9
219,先,172122,6
220,音,170924,9
221,通,170230,1
222,管,170135,4
223,網,169776,4
224,區,169166,1
225,期,168934,2
226,錯,168867,6
227,否,168690,7
228,樂,168280,5
229,入,167507,2
230,找,166755,7
231,書,166626,0
232,讓,166049,4
233,四,165306,5
234,啊,164734,1
235,由,163832,5
236,選,163162,6
237,較,161783,3
238,數,161281,5
239,表,160779,8
240,內,160755,4
241,場,160542,2
242,它,160436,5
243,從,160052,1
244,快,159776,7
245,歡,159365,2
246,至,158841,6
247,立,158292,5
248,目,157966,5
249,社,156267,8
250,合,156030,6
251,望,155460,1
252,怎,154174,9
253,認,153895,4
254,告,153380,7
255,更,152691,7
256,幾,151638,2
257,考,148422,6
258,度,147388,9
259,難,147058,9
260,版,146807,8
261,頭,146705,6
262,喜,146563,2
263,許,145559,1
264,光,145520,6
265,今,143560,4
266,買,143064,2
267,算,142333,4
268,弟,141812,7
269,若,141796,9
270,統,141769,1
271,身,141638,7
272,記,141428,0
273,代,141314,5
274,號,140616,3
275,處,139649,1
276,完,138826,7
277,接,137368,1
278,計,137149,9
279,言,136534,7
280,字,135740,6
281,師,135409,0
282,並,135265,8
283,政,134882,9
284,玩,134519,8
285,張,134407,1
286,男,133706,7
287,誰,132063,5
288,山,131818,3
289,每,131090,7
290,結,129335,2
291,且,128957,5
292,星,128833,9
293,非,128617,8
294,建,128612,9
295,改,128407,7
296,連,127418,1
297,放,126684,8
298,哈,125750,9
299,活,125568,9
300,研,125550,9
301,直,125478,8
302,設,125381,1
303,陳,125249,1
304,報,125240,2
305,轉,125171,8
306,黨,125116,0
307,指,123022,9
308,五,122901,4
309,變,122633,3
310,氣,121890,0
311,西,121877,6
312,試,121652,3
313,希,120764,7
314,神,119932,0
315,取,119840,8
316,化,119804,4
317,物,119523,8
318,王,119466,4
319,任,117100,6
320,林,116983,8
321,單,116886,2
322,世,116862,5
323,受,116232,8
324,近,115913,8
325,義,115744,3
326,死,114694,6
327,便,114674,9
328,反,114332,4
329,士,113982,3
330,戰,113772,6
331,空,113648,8
332,隊,112529,2
333,跟,112513,3
334,卻,112237,9
335,北,112186,5
336,必,112173,5
337,業,112036,3
338,功,111553,5
339,寫,111228,5
340,影,110761,5
341,聲,110548,7
342,平,110325,5
343,臺,109725,4
344,員,109155,0
345,金,108819,8
346,討,108614,0
347,色,108485,6
348,則,108300,9
349,容,108060,0
350,檔,107742,7
351,片,107600,4
352,向,107020,6
353,妳,106116,8
354,市,105637,5
355,利,105611,7
356,興,105059,6
357,白,104398,5
358,強,104347,1
359,安,103801,6
360,央,103704,5
361,特,103567,0
362,議,103289,0
363,辦,102939,6
364,價,102882,5
365,總,101978,7
366,傳,101724,3
367,思,101505,9
368,花,101015,8
369,元,100523,4
370,叫,100049,5
371,保,99970,9
372,份,99488,6
373,求,99296,7
374,究,99256,7
375,呵,99062,8
376,件,98128,6
377,未,97286,5
378,決,97148,7
379,組,96711,1
380,萬,96237,3
381,竹,96078,6
382,級,95710,0
383,持,95656,9
384,笑,94756,0
385,投,94384,7
386,哪,93877,0
387,室,93487,9
388,曾,93394,2
389,走,93148,7
390,喔,92913,2
391,標,92618,5
392,流,92482,9
393,支,92264,4
394,獨,91993,6
395,貓,90587,6
396,卡,90309,5
397,需,90154,4
398,兄,89901,5
399,門,89827,8
400,共,89634,6
401,語,89329,4
402,海,88905,0
403,口,88727,3
404,阿,88578,8
405,線,88361,5
406,馬,88333,0
407,黃,88187,2
408,參,87813,1
409,般,87661,0
410,命,87293,8
411,視,86815,1
412,觀,86794,5
413,聯,86573,7
414,腦,85822,3
415,朋,85775,8
416,格,85698,0
417,兒,85526,8
418,八,85474,2
419,修,85237,0
420,料,84954,0
421,錢,84904,6
422,失,84799,5
423,吃,84729,6
424,住,84509,7
425,即,84346,7
426,另,83262,5
427,錄,82888,6
428,專,82677,1
429,象,82336,2
430,換,81878,2
431,基,81818,1
432,板,81815,8
433,拿,80772,0
434,遠,80657,4
435,速,80360,1
436,形,80289,7
437,孩,80204,9
438,備,80164,2
439,歌,80050,4
440,幫,80023,7
441,確,79923,5
442,候,79364,0
443,除,78924,0
444,界,78850,9
445,裝,78681,3
446,類,78205,9
447,講,77918,7
448,器,77660,6
449,南,77470,9
450,案,77425,0
451,畫,77423,2
452,英,77253,9
453,訴,77163,2
454,帶,76240,1
455,差,76057,0
456,乎,76041,5
457,量,75841,2
458,久,75514,3
459,掉,75299,1
460,似,75146,7
461,整,75045,6
462,引,74461,4
463,班,74297,0
464,迷,74216,0
465,圖,74216,4
466,制,74134,8
467,費,73882,2
468,賽,73767,7
469,奇,73699,8
470,識,73392,9
471,型,73353,9
472,超,73305,2
473,邊,73304,9
474,耶,73163,9
475,品,72832,9
476,舍,72675,8
477,雖,72668,7
478,始,72626,8
479,運,72593,3
480,李,72434,7
481,務,72387,1
482,權,72344,2
483,驗,72278,3
484,故,72033,9
485,六,71823,4
486,讀,71735,2
487,怪,71713,8
488,飛,71452,9
489,滿,71310,4
490,服,71299,8
491,夢,71231,4
492,收,71165,6
493,眼,71058,1
494,造,71032,1
495,念,70963,8
496,留,70864,0
497,課,70719,5
498,軍,70663,9
499,破,70155,0
500,精,69858,4
501,半,69801,5
502,約,69741,9
503,願,69445,9
504,令,69051,5
505,底,68724,8
506,答,68517,2
507,演,68360,4
508,達,68312,3
509,雄,68173,2
510,深,67687,1
511,票,67677,1
512,早,67132,6
513,院,66835,0
514,夠,66056,1
515,曲,65789,6
516,假,65722,1
517,談,65267,5
518,術,65266,1
519,棒,65240,2
520,賣,65227,5
521,黑,64983,2
522,百,64888,6
523,勝,64825,2
524,推,64630,1
525,存,64502,6
526,火,64196,4
527,準,64150,3
528,示,63561,5
529,往,63499,8
530,碟,63470,4
531,易,63406,8
532,況,63334,8
533,晚,63237,1
534,離,63204,9
535,治,62946,8
536,導,62860,6
537,七,62853,2
538,段,62173,9
539,團,62106,4
540,調,61916,5
541,證,61502,9
542,列,61352,6
543,傷,61254,3
544,永,61245,5
545,剛,61146,0
546,排,61011,1
547,哥,60956,0
548,德,60841,5
549,九,60561,2
550,甚,60517,9
551,殺,60424,1
552,照,60147,3
553,軟,60057,1
554,包,60049,5
555,怕,59891,8
556,條,59837,1
557,夜,59755,8
558,商,59657,1
559,概,59558,3
560,根,59387,0
561,供,59310,8
562,絕,59291,2
563,千,59102,3
564,客,59085,9
565,切,58909,4
566,集,58884,2
567,稱,58681,4
568,據,58668,6
569,落,58567,3
570,越,58490,2
571,竟,58426,1
572,盡,58387,4
573,待,58350,9
574,聞,58075,4
575,園,58048,3
576,忘,57999,7
577,值,57997,0
578,產,57950,1
579,消,57326,0
580,雙,57210,8
581,紅,56845,9
582,座,56615,0
583,展,56225,0
584,育,55965,7
585,跑,55821,2
586,附,55735,8
587,嘛,55429,4
588,執,55340,1
589,唱,55158,1
590,技,54857,7
591,某,54845,9
592,硬,54667,2
593,斯,54548,2
594,雲,54540,2
595,遊,54425,3
596,息,54380,0
597,助,54145,7
598,須,53837,2
599,苦,53817,9
600,介,53811,4
601,效,53687,0
602,首,53235,9
603,質,53139,5
604,例,53106,8
605,唉,53049,0
606,職,53031,8
607,復,52921,2
608,輸,52871,6
609,節,52773,3
610,規,52770,1
611,注,52732,8
612,畢,52670,1
613,查,52569,9
614,熱,52375,5
615,油,52331,8
616,館,52285,6
617,態,52194,4
618,停,52109,1
619,福,52055,4
620,救,52003,1
621,倒,51920,0
622,親,51866,6
623,害,51860,0
624,亂,51811,3
625,古,51625,5
626,步,51305,7
627,寶,51193,0
628,擊,51164,7
629,舉,51086,7
630,終,50989,1
631,嗯,50941,3
632,印,50702,6
633,限,50622,9
634,依,50589,8
635,斷,50421,8
636,輕,50407,4
637,環,49945,7
638,簡,49903,8
639,趣,49894,5
640,志,49868,7
641,響,49816,1
642,隨,49767,6
643,練,49683,5
644,續,49681,1
645,魚,49608,1
646,篇,49397,5
647,司,49008,5
648,局,48936,7
649,送,48681,0
650,極,48680,3
651,角,48659,7
652,省,48656,9
653,源,48575,3
654,陽,48494,2
655,幹,48479,3
656,習,48435,1
657,羅,48179,9
658,武,48104,8
659,免,48015,7
660,疑,47964,4
661,拉,47785,8
662,克,47635,7
663,仍,47529,4
664,樓,47232,5
665,佛,47189,7
666,足,47014,7
667,低,46654,7
668,廣,46522,5
669,煩,46473,3
670,鳥,46304,1
671,顯,46026,3
672,碼,45990,5
673,土,45706,3
674,率,45566,1
675,聖,45455,3
676,壞,45324,9
677,初,45256,7
678,具,45052,8
679,預,44980,3
680,呀,44977,7
681,眾,44803,1
682,責,44701,1
683,爭,44699,8
684,兵,44572,7
685,智,44507,2
686,誤,44398,4
687,境,44397,4
688,青,44152,8
689,順,44024,2
690,野,43878,1
691,楚,43767,3
692,貴,43668,2
693,負,43549,9
694,壓,43377,7
695,史,43277,5
696,適,43229,5
697,係,43117,9
698,測,42962,2
699,懷,42878,9
700,迎,42805,8
701,配,42778,0
702,魔,42586,1
703,慢,42566,4
704,哇,42443,9
705,懂,42342,6
706,嗚,42327,3
707,亦,42217,6
708,味,42200,8
709,評,41999,2
710,舞,41993,4
711,細,41672,1
712,醫,41484,8
713,帝,41120,9
714,屬,41089,1
715,句,41088,5
716,戀,41039,3
717,敗,40871,1
718,宜,40410,8
719,楊,40360,3
720,甲,40313,5
721,追,40176,0
722,灌,40173,1
723,春,40107,9
724,左,40106,5
725,敢,40043,2
726,靈,40022,4
727,狂,40001,7
728,際,39814,4
729,群,39731,3
730,族,39730,1
731,木,39692,4
732,騎,39690,8
733,里,39663,7
734,項,39517,2
735,戲,39504,7
736,遇,39200,3
737,狗,39154,8
738,佳,39101,8
739,博,39094,2
740,右,39017,5
741,痛,38864,2
742,營,38542,7
743,妹,38407,8
744,康,38252,1
745,善,38229,2
746,徵,38219,5
747,歷,38186,6
748,官,38147,8
749,爾,38126,4
750,按,38098,9
751,編,38087,5
752,病,38013,0
753,護,38012,1
754,補,37810,2
755,擇,37712,6
756,抓,37600,7
757,石,37521,5
758,歲,37303,3
759,隻,37091,0
760,領,36858,4
761,尋,36745,2
762,溫,36448,3
763,養,36306,5
764,止,36248,4
765,守,36214,6
766,君,36180,7
767,血,36175,6
768,田,35956,5
769,雨,35918,8
770,居,35883,8
771,謂,35793,6
772,異,35756,1
773,優,35686,7
774,跳,35617,3
775,拜,35481,9
776,爛,35425,1
777,封,35062,9
778,惡,34959,2
779,良,34852,7
780,模,34786,5
781,狀,34746,8
782,浪,34731,0
783,聊,34724,1
784,增,34603,5
785,核,34508,0
786,激,34430,6
787,維,34363,4
788,陸,34355,1
789,吳,34275,7
790,牛,34225,4
791,忙,34193,6
792,詞,34187,2
793,劇,34177,5
794,宿,34166,1
795,急,34127,9
796,啥,34124,1
797,抱,34049,8
798,靜,33948,6
799,攻,33870,7
800,亞,33773,8
801,江,33665,6
802,致,33582,0
803,陣,33507,0
804,嚴,33480,0
805,宗,33457,8
806,警,33394,0
807,壘,33371,8
808,夫,33289,4
809,密,33263,1
810,睡,33220,4
811,午,33188,4
812,店,33183,8
813,勢,33183,3
814,悲,32912,2
815,蘭,32884,1
816,幕,32840,4
817,緣,32816,5
818,週,32814,2
819,廠,32799,5
820,簽,32720,9
821,坐,32688,7
822,香,32674,9
823,爽,32512,1
824,控,32500,1
825,微,32489,3
826,登,32345,2
827,翻,32305,8
828,普,32256,2
829,蠻,32242,5
830,冷,32223,7
831,威,32216,9
832,毒,32195,9
833,俊,32096,9
834,絡,31927,2
835,輯,31881,6
836,母,31843,5
837,創,31835,2
838,堂,31766,1
839,趙,31746,4
840,套,31711,0
841,舊,31618,8
842,雜,31573,8
843,周,31546,8
844,述,31545,9
845,恐,31356,0
846,幸,31266,8
847,亮,31253,9
848,麗,31237,9
849,巴,31055,4
850,禮,31007,8
851,酒,30999,0
852,仁,30825,4
853,餐,30791,6
854,牌,30757,2
855,突,30729,9
856,腳,30714,3
857,劍,30674,5
858,招,30651,8
859,吉,30644,6
860,父,30608,4
861,仔,30580,5
862,典,30356,8
863,搞,30263,3
864,房,30239,8
865,素,30215,0
866,防,30067,7
867,授,30016,1
868,充,29996,5
869,草,29857,0
870,暴,29856,5
871,慮,29844,5
872,紹,29836,1
873,背,29813,9
874,劉,29759,5
875,委,29585,8
876,府,29469,8
877,景,29462,2
878,憶,29345,6
879,尤,29292,4
880,諸,29277,5
881,缺,29257,0
882,援,29206,2
883,漫,29193,4
884,琴,29126,2
885,罵,28923,5
886,純,28912,0
887,尚,28869,8
888,藝,28831,9
889,惜,28798,1
890,置,28732,3
891,益,28706,0
892,姐,28608,8
893,誠,28547,3
894,繼,28491,0
895,湖,28325,2
896,欲,28313,1
897,麻,28311,1
898,靠,28286,5
899,肉,28277,6
900,松,28277,8
901,刻,28243,8
902,紀,28226,9
903,退,28211,0
904,既,28182,9
905,含,28115,7
906,判,28059,7
907,釋,28042,0
908,皮,28034,5
909,波,27996,8
910,承,27831,8
911,射,27791,0
912,堆,27788,1
913,莫,27786,1
914,製,27753,4
915,鍵,27734,7
916,趕,27733,4
917,旁,27695,0
918,筆,27690,2
919,扁,27687,9
920,註,27683,2
921,奏,27644,9
922,樹,27496,6
923,律,27377,9
924,鐵,27330,1
925,榮,27310,4
926,昨,27059,9
927,毛,27053,4
928,彩,27044,1
929,歸,26976,8
930,虎,26973,8
931,罪,26900,3
932,皆,26852,9
933,葉,26791,3
934,售,26751,1
935,彈,26708,5
936,衛,26635,5
937,施,26632,9
938,銘,26579,4
939,刀,26549,2
940,塊,26543,3
941,漢,26469,4
942,欣,26430,8
943,布,26349,5
944,賞,26279,5
945,載,26261,3
946,險,26216,6
947,播,26108,5
948,升,26085,4
949,鐘,25928,0
950,寄,25925,1
951,弄,25855,7
952,付,25729,5
953,構,25541,4
954,囉,25473,2
955,磁,25440,4
956,螢,25427,6
957,偉,25371,1
958,薦,25370,7
959,洋,25325,9
960,嘿,25319,5
961,啟,25307,1
962,梅,25172,1
963,策,25152,2
964,嘻,25152,5
965,燈,25149,6
966,鬼,25145,0
967,檢,25143,7
968,宣,25133,9
969,哦,25127,0
970,媽,25049,3
971,均,24957,7
972,派,24951,9
973,豬,24947,5
974,濟,24848,7
975,架,24796,9
976,享,24727,8
977,呆,24715,7
978,訓,24678,0
979,藍,24644,8
980,劃,24630,4
981,擔,24548,6
982,努,24544,7
983,郭,24538,1
984,歉,24532,4
985,紙,24519,0
986,貼,24507,2
987,暗,24382,3
988,呼,24343,8
989,罷,24233,5
990,巧,24208,5
991,慧,24112,5
992,穿,24088,9
993,詳,24081,3
994,雷,24053,3
995,協,23872,8
996,督,23871,3
997,顧,23773,1
998,臉,23688,7
999,逢,23680,1
1000,島,23592,0
1001,獎,23436,5
1002,游,23431,2
1003,批,23428,7
1004,略,23410,1
1005,短,23341,2
1006,幻,23331,4
1007,沙,23234,7
1008,散,23231,2
1009,敵,23215,5
1010,鄉,23208,2
1011,冊,23203,5
1012,輪,23165,5
1013,朝,23108,2
1014,窗,23081,2
1015,忍,23037,7
1016,河,22976,8
1017,藏,22926,8
1018,衝,22907,5
1019,混,22888,1
1020,唯,22782,1
1021,乾,22743,1
1022,冠,22729,9
1023,熟,22719,5
1024,鷹,22697,4
1025,蛋,22656,1
1026,尊,22568,2
1027,棄,22563,1
1028,敬,22557,3
1029,季,22542,8
1030,婚,22509,1
1031,縣,22480,6
1032,緊,22470,4
1033,伯,22436,7
1034,申,22385,5
1035,衣,22367,6
1036,購,22348,7
1037,僅,22327,3
1038,帳,22312,1
1039,層,22305,5
1040,秋,22281,9
1041,猜,22272,1
1042,偏,22239,1
1043,鏡,22234,9
1044,食,22222,9
1045,喝,22191,2
1046,偷,21994,1
1047,贊,21949,9
1048,犯,21825,5
1049,勇,21693,9
1050,顆,21646,7
1051,姓,21573,8
1052,束,21572,7
1053,淡,21570,1
1054,詩,21528,3
1055,嘉,21507,4
1056,曉,21478,6
1057,借,21435,0
1058,徒,21432,0
1059,洲,21420,9
1060,擁,21343,6
1061,序,21328,7
1062,慶,21321,5
1063,績,21319,7
1064,祝,21276,0
1065,獅,21193,3
1066,圍,21140,2
1067,餘,21111,5
1068,私,21082,7
1069,鬥,21013,0
1070,柔,21005,9
1071,漂,20978,4
1072,富,20968,2
1073,秀,20948,7
1074,範,20868,5
1075,避,20858,7
1076,輝,20777,5
1077,譯,20748,0
1078,孤,20746,8
1079,笨,20700,1
1080,括,20687,9
1081,吸,20676,7
1082,端,20659,4
1083,移,20647,1
1084,廳,20640,5
1085,蓋,20590,4
1086,末,20573,5
1087,察,20535,4
1088,抗,20511,7
1089,揮,20429,2
1090,乖,20396,8
1091,積,20369,6
1092,插,20356,2
1093,驚,20303,3
1094,蔡,20290,5
1095,忠,20273,8
1096,愈,20254,3
1097,雪,20246,1
1098,巨,20242,5
1099,碩,20230,4
1100,瑞,20193,3
1101,凡,20171,3
1102,朱,20145,6
1103,籃,20137,0
1104,丟,20121,6
1105,盤,20111,5
1106,偶,20103,1
1107,港,20031,2
1108,宮,19968,0
1109,帥,19869,9
1110,宏,19842,7
1111,雅,19823,2
1112,貨,19754,1
1113,醒,19742,6
1114,虛,19729,2
1115,遺,19703,6
1116,掛,19689,1
1117,透,19668,1
1118,爆,19616,9
1119,烈,19529,0
1120,滅,19510,3
1121,材,19462,7
1122,拍,19462,8
1123,休,19366,6
1124,誌,19351,4
1125,圓,19328,3
1126,銀,19166,4
1127,互,19113,4
1128,飯,19113,2
1129,掌,19080,2
1130,豪,19043,4
1131,替,19015,2
1132,挑,18981,9
1133,頂,18957,1
1134,熊,18879,4
1135,累,18845,1
1136,址,18844,7
1137,健,18841,1
1138,俠,18834,9
1139,雞,18754,8
1140,困,18744,7
1141,諾,18719,6
1142,輔,18716,4
1143,伴,18685,7
1144,玉,18649,5
1145,洗,18637,9
1146,敏,18600,1
1147,臨,18552,7
1148,街,18525,2
1149,降,18470,9
1150,唸,18426,1
1151,憐,18408,5
1152,蘇,18405,0
1153,米,18398,6
1154,減,18369,2
1155,操,18369,6
1156,瘋,18284,4
1157,辛,18232,7
1158,宇,18185,6
1159,聚,18174,4
1160,兮,18079,4
1161,彼,18061,8
1162,採,18061,1
1163,屆,18051,8
1164,尼,18042,5
1165,輩,18029,5
1166,藥,18019,9
1167,騙,17996,9
1168,綠,17990,4
1169,童,17987,2
1170,縮,17930,7
1171,符,17927,1
1172,獲,17926,7
1173,默,17823,6
1174,郎,17737,9
1175,碰,17737,3
1176,禁,17702,3
1177,婆,17697,1
1178,咧,17663,9
1179,股,17617,8
1180,抽,17572,8
1181,砍,17552,9
1182,恨,17543,9
1183,肯,17482,8
1184,刊,17481,5
1185,泡,17478,8
1186,漸,17443,4
1187,鋼,17392,6
1188,廢,17356,5
1189,淚,17323,1
1190,樞,17300,5
1191,贏,17237,0
1192,歐,17225,5
1193,財,17159,0
1194,訂,17148,9
1195,途,17088,1
1196,觸,17008,0
1197,賢,17005,5
1198,傑,16986,2
1199,脫,16953,1
1200,箱,16885,5
1201,佈,16807,7
1202,仙,16789,5
1203,冰,16718,6
1204,析,16630,8
1205,蒼,16589,4
1206,厭,16578,4
1207,籍,16527,0
1208,堅,16523,1
1209,哭,16491,0
1210,夏,16486,0
1211,懶,16450,9
1212,橋,16382,6
1213,穩,16347,9
1214,露,16329,1
1215,詢,16292,3
1216,森,16213,2
1217,絲,16204,2
1218,塵,16193,4
1219,慣,16178,4
1220,濤,16177,7
1221,誼,16173,5
1222,佔,16103,7
1223,茶,16063,0
1224,賴,16057,6
1225,階,16038,2
1226,豐,16033,8
1227,貝,15970,7
1228,暑,15910,2
1229,郵,15910,2
1230,危,15900,6
1231,寒,15884,2
1232,械,15832,1
1233,隱,15820,7
1234,爸,15817,8
1235,汽,15769,7
1236,慘,15736,4
1237,旅,15733,0
1238,村,15667,7
1239,予,15645,4
1240,振,15639,0
1241,亡,15636,3
1242,瓶,15600,1
1243,遭,15597,5
1244,哲,15596,0
1245,零,15588,3
1246,納,15556,0
1247,珍,15526,9
1248,乃,15520,2
1249,席,15504,0
1250,哩,15463,0
1251,鄭,15451,5
1252,吹,15424,7
1253,骨,15411,0
1254,煙,15409,3
1255,胡,15405,9
1256,倫,15400,0
1257,洪,15396,9
1258,搖,15391,3
1259,娘,15363,0
1260,芳,15327,8
1261,索,15309,0
1262,峰,15287,0
1263,織,15287,8
1264,惠,15241,2
1265,杯,15229,8
1266,浮,15229,0
1267,狼,15194,0
1268,隔,15125,3
1269,椰,15110,3
1270,租,15048,0
1271,尾,15029,7
1272,忽,15002,8
1273,複,14979,4
1274,莊,14938,1
1275,款,14902,2
1276,菜,14828,2
1277,副,14767,1
1278,企,14761,6
1279,折,14728,7
1280,擾,14681,8
1281,揚,14672,2
1282,鼠,14641,3
1283,冒,14607,9
1284,癡,14569,9
1285,鼓,14563,3
1286,刺,14544,8
1287,頻,14544,6
1288,喵,14450,2
1289,針,14445,0
1290,霸,14399,1
1291,暫,14391,5
1292,伊,14371,6
1293,沉,14364,7
1294,嘴,14356,5
1295,庫,14348,0
1296,悔,14321,0
1297,陰,14299,1
1298,寂,14283,1
1299,倚,14270,0
1300,探,14221,1
1301,祖,14208,0
1302,摩,14122,5
1303,距,14075,2
1304,剩,14066,2
1305,遍,14043,3
1306,蟲,14031,8
1307,燒,14030,6
1308,頁,14018,9
1309,隆,13987,2
1310,弱,13963,0
1311,豆,13896,7
1312,延,13893,8
1313,蕭,13870,6
1314,握,13849,2
1315,寧,13818,4
1316,昭,13816,9
1317,盟,13792,3
1318,覆,13711,8
1319,憲,13709,6
1320,秘,13705,0
1321,耐,13694,9
1322,愁,13655,3
1323,丁,13648,2
1324,撥,13638,5
1325,沈,13634,7
1326,昇,13610,8
1327,髮,13606,5
1328,哀,13603,9
1329,龜,13579,6
1330,眉,13561,9
1331,固,13557,8
1332,卷,13551,8
1333,顏,13471,8
1334,閒,13450,2
1335,稍,13420,2
1336,殘,13412,2
1337,搭,13371,3
1338,京,13353,8
1339,傻,13350,3
1340,耳,13349,6
1341,映,13347,9
1342,託,13330,0
1343,恩,13311,0
1344,鴻,13276,7
1345,妙,13233,7
1346,辯,13219,1
1347,媒,13216,2
1348,吵,13174,7
1349,擬,13172,7
1350,違,13155,3
1351,憂,13130,5
1352,桌,13128,0
1353,拼,13120,9
1354,銷,13028,5
1355,藉,13010,8
1356,胖,12923,9
1357,屋,12885,9
1358,域,12877,1
1359,船,12875,1
1360,勞,12873,2
1361,洞,12858,9
1362,寢,12845,4
1363,井,12829,4
1364,徐,12774,0
1365,川,12738,3
1366,奈,12708,8
1367,戶,12704,4
1368,乘,12677,0
1369,額,12653,8
1370,倍,12651,0
1371,農,12610,3
1372,擺,12606,8
1373,塞,12591,3
1374,橫,12569,6
1375,賀,12551,2
1376,皇,12496,9
1377,拖,12492,8
1378,怨,12485,9
1379,牙,12472,4
1380,齊,12418,4
1381,逃,12414,0
1382,障,12357,4
1383,賺,12307,7
1384,滾,12305,4
1385,干,12270,3
1386,譜,12240,9
1387,烏,12176,0
1388,瞭,12167,7
1389,戴,12139,7
1390,搬,12118,3
1391,鬆,12093,8
1392,瓜,11982,5
1393,迫,11981,9
1394,嚇,11970,7
1395,奶,11954,5
1396,棋,11925,2
1397,鬧,11924,5
1398,盛,11909,1
1399,摸,11879,4
1400,尺,11878,4
1401,伙,11837,6
1402,染,11830,9
1403,佩,11828,8
1404,床,11827,7
1405,酷,11827,4
1406,孫,11817,0
1407,牠,11796,7
1408,屁,11781,7
1409,醉,11754,5
1410,震,11745,5
1411,鎖,11741,8
1412,凱,11739,2
1413,損,11726,3
1414,潮,11709,5
1415,役,11706,7
1416,泰,11706,0
1417,伍,11666,6
1418,冬,11656,5
1419,桃,11651,0
1420,聰,11620,7
1421,乙,11559,1
1422,迴,11557,0
